index,character,dialogue,episode
242,BEN,Dont seem to remember ever owning a droid.  Very interesting... ,IV
243,BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.,IV
244,LUKE,... Threepio!,IV
245,THREEPIO,Where am I?  I must have taken a bad step...,IV
246,LUKE,Can you stand?  Weve got to get out of here before the Sand People return.,IV
247,THREEPIO,I dont think I can make it.  You go on Master Luke.  Theres no sense in you risking yourself on my account.  Im done for.,IV
248,LUKE,No youre not.  What kind of talk is that?,IV
249,BEN,Quickly son... theyre on the move.,IV
250,LUKE,No my father didnt fight in the wars.  He was a navigator on a spice freighter.,IV
251,BEN,Thats what your uncle told you.  He didnt hold with your fathers ideals.  Thought he should have stayed here and not gotten involved.,IV
252,LUKE,You fought in the Clone Wars?,IV
253,BEN,Yes I was once a Jedi Knight the same as your father.,IV
254,LUKE,I wish Id known him.,IV
255,BEN,He was the best star-pilot in the galaxy and a cunning warrior.  I understand youve become quite a good pilot yourself.  And he was a good friend.  Which reminds me...,IV
256,BEN,I have something here for you.  Your father wanted you to have this when you were old enough but your uncle wouldnt allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. ,IV
257,THREEPIO,Sir if youll not be needing me Ill close down for awhile.,IV
258,LUKE,Sure go ahead.,IV
259,LUKE,What is it?,IV
260,BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.,IV
261,BEN,An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times before the Empire.,IV
262,LUKE,How did my father die?,IV
263,BEN,A young Jedi named Darth Vader who was a pupil of mine until he turned to evil helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.,IV
264,LUKE,The Force?,IV
265,BEN,Well the Force is what gives the Jedi his power.  Its an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.,IV
266,BEN,Now lets see if we cant figure out what you are my little friend.  And where you come from.,IV
267,LUKE,I saw part of the message he was...,IV
268,BEN,I seem to have found it.,IV
269,LEIA,General Kenobi years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my fathers request to you in person but my ship has fallen under attack and Im afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me Obi-Wan Kenobi youre my only hope.,IV
270,BEN,You must learn the ways of the Force if youre to come with me to Alderaan.,IV
271,LUKE,Alderaan?  Im not going to Alderaan.  Ive got to go home.  Its late Im in for it as it is.,IV
272,BEN,I need your help Luke.  Im getting too old for this sort of thing.She needs your help.,IV
273,LUKE,I cant get involved!  Ive got work to do!  Its not that I like the Empire.  I hate it!  But theres nothing I can do about it right now.  Its such a long way from here.,IV
274,BEN,Thats your uncle talking.,IV
275,LUKE,Oh God my uncle.  How am I ever going to explain this?,IV
276,BEN,Learn about the Force Luke.,IV
277,LUKE,Look I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever youre going.,IV
278,BEN,You must do what you feel is right of course.,IV
279,TAGGE,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  Theyre more dangerous than you realize.,IV
280,MOTTI,Dangerous to your starfleet Commander; not to this battle station!,IV
281,TAGGE,The Rebellion will continue to gain support in the Imperial Senate as long as....,IV
282,TARKIN,The Imperial Senate will no longer be of any concern to us.  Ive just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.,IV
283,TAGGE,Thats impossible!  How will the Emperor maintain control without the bureaucracy?,IV
284,TARKIN,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.,IV
285,TAGGE,And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station it is possible however unlikely that they might find a weakness and exploit it.,IV
286,VADER,The plans you refer to will soon be back in our hands.,IV
287,MOTTI,Any attack made by the Rebels against this station would be a useless gesture no matter what technical data theyve obtained.  This station is now the ultimate power in the universe.  I suggest we use it!,IV
288,VADER,Dont be too proud of this technological terror youve constructed.  The ability to destroy a planet is insignificant next to the power of the Force.,IV
289,MOTTI,Dont try to frighten us with your sorcerers ways Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes or given you clairvoyance enough to find the Rebels hidden fort...,IV
290,VADER,I find your lack of faith disturbing.,IV
291,TARKIN,Enough of this!  Vader release him!,IV
292,VADER,As you wish.,IV
293,TARKIN,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.,IV
294,LUKE,It looks like Sand People did this all right.  Look here are gaffi sticks bantha tracks.  Its just... I never heard of them hitting anything this big before.,IV
295,BEN,They didnt.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.,IV
296,LUKE,These are the same Jawas that sold us Artoo and Threepio.,IV
297,BEN,And these blast points too accurate for Sand People.  Only Imperial stormtroopers are so precise.,IV
298,LUKE,Why would Imperial troops want to slaughter Jawas?,IV
299,LUKE,If they traced the robots here they may have learned who they sold them to.  And that would lead them back home!,IV
300,BEN,Wait Luke!  Its too dangerous.,IV
301,LUKE,Uncle Owen!  Aunt Beru!  Uncle Owen!,IV
302,VADER,And now Your Highness we will discuss the location of your hidden Rebel base.,IV
303,BEN,Theres nothing you could have done Luke had you been there.  Youd have been killed too and the droids would now be in the hands of the Empire.,IV
304,LUKE,I want to come with you to Alderaan.  Theres nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.,IV
305,BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.,IV
306,TROOPER,How long have you had these droids?,IV
307,LUKE,About three or four seasons.,IV
308,BEN,Theyre for sale if you want them.,IV
309,TROOPER,Let me see your identification.,IV
310,BEN,You dont need to see his identification.,IV
311,TROOPER,We dont need to see his identification.,IV
312,BEN,looking for.,IV
313,TROOPER,These are not the droids were looking for.,IV
314,BEN,He can go about his business.,IV
315,TROOPER,You can go about your business.,IV
316,BEN,Move along.,IV
317,TROOPER,Move along.  Move along.,IV
318,THREEPIO,I cant abide these Jawas.  Disgusting creatures.,IV
319,LUKE,Go on go on.  I cant understand how we got by those troopers.  I thought we were dead.,IV
320,BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.,IV
321,LUKE,Do you really think were going to find a pilot here thatll take us to Alderaan?,IV
322,BEN,Well most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough.,IV
323,LUKE,Im ready for anything.,IV
324,THREEPIO,Come along Artoo.,IV
325,BARTENDER,We dont serve their kind here!,IV
326,LUKE,What?,IV
327,BARTENDER,Your droids. Theyll have to wait outside.  We dont want them here.,IV
328,LUKE,Listen why dont you wait out by the speeder.  We dont want any trouble.,IV
329,THREEPIO,I heartily agree with you sir.,IV
330,CREATURE,Negola dewaghi wooldugger?!?,IV
331,HUMAN,He doesnt like you.,IV
332,LUKE,Im sorry.,IV
333,HUMAN,I dont like you either,IV
334,HUMAN,Dont insult us.  You just watch yourself.  Were wanted men.  I have the death sentence on twelve systems.,IV
335,LUKE,Ill be careful than.,IV
336,HUMAN,Youll be dead.,IV
337,BEN,This little one isnt worth the effort.  Come let me buy you something...,IV
338,BARTENDER,No blasters!  No blaster!,IV
339,BEN,This is Chewbacca.  Hes first-mate on a ship that might suit our needs.,IV
